Code_BV_Complet;Libellé commune;Exprimés;PCT_RN;PCT_UG;PCT_ENS
16160011;Abzac;228;46.05;16.23;30.7
16160021;Les Adjots;255;46.67;31.76;16.86
16160031;Agris;399;54.64;24.06;18.05
16160051;Aigre;450;45.33;18.0;28.0
16160052;Aigre;278;46.4;22.3;24.46
16160071;Alloue;222;40.09;28.83;27.93
16160081;Ambérac;161;44.72;23.6;26.09
16160091;Ambernac;206;43.2;26.21;24.76
16160111;Anais;279;39.43;29.03;22.58
16160121;Angeac-Champagne;269;42.38;14.13;34.94
16160131;Angeac-Charente;196;33.16;17.35;35.71
16160141;Angeduc;85;61.18;23.53;11.76
16160151;Angoulême;754;17.64;41.11;34.22
16160152;Angoulême;760;14.08;60.13;21.32
16160153;Angoulême;683;15.81;42.75;35.58
16160154;Angoulême;668;14.37;50.15;29.34
16160155;Angoulême;499;27.05;36.07;30.46
16160156;Angoulême;454;29.07;43.17;22.03
16160157;Angoulême;475;28.63;41.68;24.84
16160158;Angoulême;586;24.23;40.96;28.67
16160159;Angoulême;531;23.16;46.7;23.54
161601510;Angoulême;327;17.74;63.61;13.15
161601511;Angoulême;630;20.16;42.22;31.11
161601512;Angoulême;531;27.68;33.9;31.83
161601513;Angoulême;398;28.64;42.96;20.35
161601514;Angoulême;374;29.41;33.16;32.09
161601515;Angoulême;698;26.79;38.25;30.52
161601516;Angoulême;665;20.6;41.05;33.38
161601517;Angoulême;530;19.06;46.98;28.3
161601518;Angoulême;710;15.77;45.07;33.52
161601519;Angoulême;602;21.1;43.85;27.24
161601520;Angoulême;698;15.9;43.27;35.24
161601521;Angoulême;638;19.12;43.73;32.6
161601522;Angoulême;536;31.9;35.63;26.87
161601523;Angoulême;337;24.04;50.15;18.1
161601524;Angoulême;511;21.14;51.27;24.07
161601525;Angoulême;568;27.46;41.73;24.47
161601526;Angoulême;567;18.87;57.67;18.52
161601527;Angoulême;507;26.82;37.67;31.76
161601528;Angoulême;518;20.46;38.22;34.94
161601529;Angoulême;471;23.57;34.61;34.61
161601530;Angoulême;47;34.04;44.68;12.77
16160161;Ansac-sur-Vienne;445;42.02;31.69;21.57
16160181;Ars;378;42.33;15.61;29.89
16160191;Asnières-sur-Nouère;687;40.47;23.14;28.38
16160201;Aubeterre-sur-Dronne;109;22.94;32.11;35.78
16160231;Aunac-sur-Charente;338;36.98;30.77;28.11
16160241;Aussac-Vadalle;285;42.81;25.96;25.26
16160251;Baignes-Sainte-Radegonde;611;41.73;15.55;31.42
16160261;Balzac;777;31.53;23.29;37.32
16160271;Barbezières;80;47.5;25.0;25.0
16160281;Barbezieux-Saint-Hilaire;505;35.05;28.12;26.93
16160282;Barbezieux-Saint-Hilaire;491;37.68;26.48;28.31
16160283;Barbezieux-Saint-Hilaire;462;31.17;21.65;33.77
16160284;Barbezieux-Saint-Hilaire;506;29.25;23.12;33.4
16160285;Barbezieux-Saint-Hilaire;157;30.57;23.57;37.58
16160291;Bardenac;126;36.51;20.63;29.37
16160301;Barret;540;40.56;18.89;26.48
16160311;Barro;254;37.4;32.68;22.83
16160321;Bassac;257;42.8;15.95;27.63
16160341;Bazac;82;58.54;8.54;14.63
16160351;Beaulieu-sur-Sonnette;141;42.55;21.99;23.4
16160361;Bécheresse;158;31.01;29.11;21.52
16160371;Bellon;74;41.89;20.27;24.32
16160381;Benest;153;35.29;24.18;32.68
16160391;Bernac;276;47.83;23.55;22.46
16160401;Berneuil;159;34.59;22.01;35.85
16160411;Bessac;59;37.29;20.34;23.73
16160421;Bessé;71;28.17;32.39;22.54
16160441;Bioussac;124;42.74;31.45;21.77
16160451;Birac;238;45.38;15.13;25.63
16160461;Coteaux-du-Blanzacais;450;42.67;21.56;22.89
16160471;Blanzaguet-Saint-Cybard;143;33.57;17.48;26.57
16160481;Boisbreteau;67;50.75;16.42;17.91
16160491;Bonnes;185;42.7;22.7;24.86
16160501;Bonneuil;125;44.8;8.0;29.6
16160521;Bors (Canton de Tude-et-Lavalette);122;27.05;36.89;21.31
16160531;Bors (Canton de Charente-Sud);48;31.25;31.25;18.75
16160541;Le Bouchage;82;43.9;15.85;32.93
16160551;Bouëx;473;46.51;19.24;27.27
16160561;Bourg-Charente;439;40.55;13.9;30.75
16160571;Bouteville;152;46.71;11.84;27.63
16160581;Boutiers-Saint-Trojan;803;33.75;23.66;30.88
16160591;Brettes;72;38.89;34.72;25.0
16160601;Bréville;244;31.15;23.77;31.56
16160611;Brie;662;40.79;27.95;23.87
16160612;Brie;715;39.16;27.97;25.73
16160613;Brie;781;37.9;30.6;24.97
16160621;Brie-sous-Barbezieux;63;60.32;15.87;20.63
16160631;Brie-sous-Chalais;111;47.75;20.72;23.42
16160641;Brigueuil;526;46.96;25.1;20.15
16160651;Brillac;260;40.77;34.62;16.54
16160661;Brossac;243;38.68;16.05;31.69
16160671;Bunzac;248;39.11;27.82;23.39
16160681;Cellefrouin;265;56.23;23.02;16.23
16160691;Cellettes;197;48.73;29.44;14.21
16160701;Chabanais;760;39.61;32.24;22.5
16160711;Chabrac;266;51.13;24.06;19.17
16160721;Chadurie;290;43.1;20.69;19.31
16160731;Chalais;367;43.87;17.17;25.34
16160732;Chalais;410;40.73;26.34;23.17
16160741;Challignac;164;38.41;28.05;21.95
16160751;Champagne-Vigny;133;45.11;18.05;31.58
16160761;Champagne-Mouton;441;38.32;31.29;24.49
16160771;Champmillon;302;40.73;28.48;25.17
16160781;Champniers;615;36.1;22.6;32.36
16160782;Champniers;656;34.15;29.57;30.64
16160783;Champniers;502;44.22;22.31;27.69
16160784;Champniers;286;35.31;21.68;34.62
16160785;Champniers;591;40.44;20.47;30.63
16160786;Champniers;421;30.17;25.89;33.25
16160791;Chantillac;145;37.93;28.97;22.07
16160811;La Chapelle;96;59.38;19.79;16.67
16160821;Boisné-La Tude;204;37.25;13.73;18.14
16160822;Boisné-La Tude;99;38.38;19.19;16.16
16160823;Boisné-La Tude;76;44.74;26.32;13.16
16160831;Charmé;160;34.38;26.25;29.38
16160841;Charras;179;42.46;27.93;20.67
16160851;Chasseneuil-sur-Bonnieure;672;41.52;27.23;24.4
16160852;Chasseneuil-sur-Bonnieure;806;48.51;22.58;22.21
16160861;Chassenon;439;46.92;27.11;19.36
16160871;Chassiecq;77;44.16;31.17;20.78
16160881;Chassors;606;48.02;19.47;22.44
16160891;Châteaubernard;413;38.26;23.0;26.15
16160892;Châteaubernard;442;42.99;19.23;25.79
16160893;Châteaubernard;518;30.31;18.73;37.07
16160894;Châteaubernard;410;35.12;22.68;29.02
16160901;Châteauneuf-sur-Charente;477;34.8;25.16;28.93
16160902;Châteauneuf-sur-Charente;598;42.14;23.91;24.08
16160903;Châteauneuf-sur-Charente;536;42.16;20.15;27.43
16160911;Châtignac;94;48.94;23.4;20.21
16160931;Chazelles;458;40.83;28.82;24.02
16160932;Chazelles;432;42.82;27.08;21.76
16160951;Chenon;81;32.1;27.16;33.33
16160961;Cherves-Châtelars;195;41.03;25.13;28.21
16160971;Val-de-Cognac;355;35.49;19.15;33.24
16160972;Val-de-Cognac;214;44.39;15.42;28.5
16160973;Val-de-Cognac;208;41.83;15.87;28.85
16160974;Val-de-Cognac;431;38.28;22.51;25.99
16160975;Val-de-Cognac;383;49.87;16.19;24.8
16160976;Val-de-Cognac;232;53.45;17.24;20.26
16160981;La Chèvrerie;93;56.99;18.28;18.28
16160991;Chillac;108;38.89;22.22;25.93
16161001;Chirac;400;38.75;41.0;14.75
16161011;Claix;529;41.97;19.09;26.47
16161021;Cognac;515;25.63;24.27;29.32
16161022;Cognac;729;23.59;23.73;35.12
16161023;Cognac;619;28.76;25.36;31.34
16161024;Cognac;580;29.31;26.38;29.31
16161025;Cognac;592;27.53;21.11;36.32
16161026;Cognac;513;35.87;23.78;24.17
16161027;Cognac;596;29.7;25.34;30.7
16161028;Cognac;588;38.95;25.68;20.58
16161029;Cognac;736;32.88;25.0;29.48
161610210;Cognac;741;32.52;21.05;33.06
161610211;Cognac;374;38.5;33.69;15.51
161610212;Cognac;399;38.85;24.56;22.56
161610213;Cognac;555;32.07;23.96;32.25
16161031;Combiers;67;37.31;22.39;26.87
16161041;Condac;263;38.4;25.48;31.18
16161051;Condéon;318;44.03;22.96;26.73
16161061;Confolens;615;28.13;32.2;31.06
16161062;Confolens;629;40.06;27.34;24.48
16161071;Coulgens;248;48.79;23.39;21.77
16161081;Coulonges;60;43.33;16.67;26.67
16161091;Courbillac;305;53.44;20.98;17.38
16161101;Courcôme;205;40.49;25.85;26.34
16161102;Courcôme;80;37.5;30.0;28.75
16161103;Courcôme;133;42.86;22.56;29.32
16161111;Courgeac;105;37.14;24.76;26.67
16161121;Courlac;37;56.76;18.92;18.92
16161131;La Couronne;423;41.13;33.33;21.28
16161132;La Couronne;624;41.03;26.6;25.48
16161133;La Couronne;527;31.5;34.72;28.27
16161134;La Couronne;500;36.6;33.8;20.6
16161135;La Couronne;451;42.79;21.29;26.83
16161136;La Couronne;614;38.76;27.04;26.38
16161141;Couture;68;20.59;23.53;42.65
16161161;Criteuil-la-Magdeleine;197;37.06;18.78;29.44
16161171;Curac;56;51.79;14.29;17.86
16161181;Deviat;63;47.62;22.22;14.29
16161191;Dignac;703;37.41;25.04;24.32
16161201;Dirac;861;34.26;28.34;29.38
16161211;Douzat;234;45.3;19.66;31.62
16161221;Ebréon;68;38.24;14.71;42.65
16161231;Echallat;298;46.64;18.79;28.19
16161241;Ecuras;318;41.19;27.04;23.58
16161251;Edon;139;45.32;20.14;15.83
16161271;Empuré;62;35.48;24.19;24.19
16161281;Epenède;98;37.76;39.8;18.37
16161301;Les Essards;80;25.0;30.0;27.5
16161311;Esse;278;37.05;28.06;28.78
16161321;Etagnac;506;43.28;27.87;22.92
16161331;Etriac;106;32.08;29.25;24.53
16161341;Exideuil-sur-Vienne;521;39.16;36.85;18.04
16161351;Eymouthiers;184;35.33;28.8;34.24
16161361;La Faye;360;46.94;23.61;23.33
16161371;Feuillade;174;43.68;10.92;41.38
16161381;Fléac;552;33.15;24.46;34.78
16161382;Fléac;522;28.74;27.78;37.93
